"gene","cell_type","log2FC","pvalue","padj","significance","category"
"HSP90AB1","Amacrine",1.79274540085056,1.38980156434652e-22,8.87249318678816e-19,"padj < 0.05","Chaperones"
"HSP90AA1","Amacrine",1.46949426609358,3.75334369533946e-15,5.99033653776177e-12,"padj < 0.05","Chaperones"
"HSP90B1","Amacrine",1.37718218353676,2.24002825861661e-14,2.38339006716807e-11,"padj < 0.05","Chaperones"
"CANX","Amacrine",1.01366577618505,2.7717000874354e-07,4.87468363114686e-05,"padj < 0.05","Chaperones"
"PDIA3","Amacrine",1.13695681900176,4.31898138102502e-06,0.000586646322052419,"padj < 0.05","Chaperones"
"HSPA5","Amacrine",1.21959685949333,5.1684520423371e-06,0.000646968585064314,"padj < 0.05","Chaperones"
"HSPD1","Amacrine",1.44125176536646,8.77850005329615e-06,0.000983192005969169,"padj < 0.05","Chaperones"
"CLU","Amacrine",1.34534063572768,1.18537840938048e-05,0.00124056651893196,"padj < 0.05","Chaperones"
"CD63","Amacrine",1.57727347311086,3.6248188723837e-05,0.00317930451170786,"padj < 0.05","Tetraspanins"
"TSPAN7","Amacrine",0.637615004873408,0.00100975642035101,0.039547760659637,"padj < 0.05","Tetraspanins"
"CDH18","Amacrine",-0.637532678292379,0.00122621615951398,0.0452495026724696,"padj < 0.05","Cadherins"
"CTNNA2","Amacrine",-0.356133460447815,0.0220128584827471,0.262183001033316,"p < 0.05","Catenins"
"VIM","Amacrine",0.767202694849165,0.0324719183026022,0.311262352017736,"p < 0.05","Cytoskeleton"
"PARD3B","Amacrine",-1.81551209118877,0.01272069402465,NA,"p < 0.05","Polarity_Complex"
"CRACR2A","Amacrine",3.06444919823583,0.0423610555253307,NA,"p < 0.05","Calcium_Signaling"
"CTNNA2","Bipolar",-1.11526928933504,0.000733598300425735,0.682549587243398,"p < 0.05","Catenins"
"HSP90AB1","Bipolar",1.47909414912114,0.00402051042512808,0.999985254041634,"p < 0.05","Chaperones"
"HSP90B1","Bipolar",1.14936281238908,0.00494075872755742,0.999985254041634,"p < 0.05","Chaperones"
"HSPD1","Bipolar",2.04670938405074,0.0085860312203339,0.999985254041634,"p < 0.05","Chaperones"
"PCDH15","Cones",-0.450374969282955,0.00135565992731142,0.0430348155077958,"padj < 0.05","Cadherins"
"SLC1A2","Cones",-0.427554654850586,0.0242590607939845,0.33766410607026,"p < 0.05","Glial_Function"
"HSP90B1","Horizontal",1.56549796696333,7.92704275547249e-06,0.00104523720904302,"padj < 0.05","Chaperones"
"HSP90AB1","Horizontal",1.33982761586413,0.000313014855688869,0.0137577481809917,"padj < 0.05","Chaperones"
"HSP90AA1","Horizontal",1.43782525347392,0.000369023002494875,0.0154821923319441,"padj < 0.05","Chaperones"
"TSPAN7","Horizontal",1.18564928000773,0.001739680939643,0.0382315596973926,"padj < 0.05","Tetraspanins"
"HSPA5","Horizontal",1.93480450792651,0.0073674073869678,NA,"p < 0.05","Chaperones"
"PDIA3","Horizontal",1.08271368657474,0.0385937731809342,NA,"p < 0.05","Chaperones"
"CTNNA2","Muller",-1.77989291545518,2.72195251371864e-07,0.0015711109909184,"padj < 0.05","Catenins"
"CRACR2A","Muller",4.96542955891568,0.00202043878431792,0.999877276667317,"p < 0.05","Calcium_Signaling"
"RLBP1","Muller",-4.18201552021253,0.00393962465129359,0.999877276667317,"p < 0.05","Glial_Function"
"CDH18","Muller",-4.42330628791658,0.0055396521334939,0.999877276667317,"p < 0.05","Cadherins"
"ERBB4","Muller",5.69202972381968,0.00633677778675282,0.999877276667317,"p < 0.05","Survival_Signaling"
"SLC1A2","Muller",1.45215340290784,0.00984821013528936,0.999877276667317,"p < 0.05","Glial_Function"
"GLUL","Muller",-1.00948128964811,0.0176008785953985,0.999877276667317,"p < 0.05","Glial_Function"
"CFL2","Muller",2.26740743973501,0.021824211476904,0.999877276667317,"p < 0.05","Cytoskeleton"
"CD63","Muller",2.28136190129974,0.0222136128954398,0.999877276667317,"p < 0.05","Tetraspanins"
"HSP90AB1","RGC",1.07561222168417,9.53759793702224e-07,0.000155176718435352,"padj < 0.05","Chaperones"
"CLU","RGC",1.48074809794823,4.61470439105859e-06,0.000622662083676986,"padj < 0.05","Chaperones"
"HSP90AA1","RGC",0.903964063573028,0.000110516902796834,0.00719244003401799,"padj < 0.05","Chaperones"
"HSP90B1","RGC",1.0218191523065,0.000194461024667901,0.010811419686585,"padj < 0.05","Chaperones"
"CANX","RGC",0.902385485575453,0.00118326198958224,0.048490192600911,"padj < 0.05","Chaperones"
"TSPAN7","RGC",0.865454194635476,0.00420393881604367,0.113996807561718,"p < 0.05","Tetraspanins"
"CD63","RGC",1.26885706069694,0.00801669069344576,NA,"p < 0.05","Tetraspanins"
"CTNNB1","RGC",1.59821729123317,0.0108388138354222,NA,"p < 0.05","Catenins"
"HSPD1","RGC",0.869956268844813,0.0431604103606654,NA,"p < 0.05","Chaperones"
"PARD3B","Rods",2.70086475483379,9.39632628709853e-11,7.99121411001241e-08,"padj < 0.05","Polarity_Complex"
"HSP90AB1","Rods",0.642638593572864,1.14695412675171e-05,0.00178601758103759,"padj < 0.05","Chaperones"
"TJP1","Rods",-0.517477646240636,4.24026397205263e-05,0.00504089876075418,"padj < 0.05","Tight_Junctions"
"CDH18","Rods",-0.661965219560361,0.000548824391465132,0.0317685993300445,"padj < 0.05","Cadherins"
"PCDH15","Rods",-0.306427043569847,0.00215296293193539,0.0798763697163681,"p < 0.05","Cadherins"
"ERBB4","Rods",-0.898803099719043,0.0110166049461854,0.214435887825749,"p < 0.05","Survival_Signaling"
"HSPD1","Rods",0.565602370920042,0.0122448448515558,0.225256247385692,"p < 0.05","Chaperones"
"HSP90B1","Rods",0.346957002134295,0.0217112488116653,0.308931231482332,"p < 0.05","Chaperones"
"HSP90AA1","Rods",0.292808513717343,0.0333667530156928,0.390373355916931,"p < 0.05","Chaperones"
